,conv [PC1],conv [PC2],SET
0,27.401442,-6.1253624,not set
1,17.294155,-2.140461,not set
2,25.5993,-12.710576,not set
3,-6.211631,-9.384374,not set
4,29.686035,-7.538262,not set
5,17.864996,14.50457,not set
6,14.008666,-5.848887,not set
7,60.648113,-2.2365837,not set
8,45.400085,3.5222101,not set
9,10.168006,6.3760605,not set
10,50.789436,-0.8966528,not set
11,20.956917,-17.797186,not set
12,30.813215,-2.556062,not set
13,34.20507,6.720722,not set
14,22.66798,-16.264523,not set
15,43.812332,8.112902,not set
16,12.8205185,-4.1366806,not set
17,34.790688,-4.0565395,not set
18,52.426754,-3.7174647,not set
19,26.000793,5.7059803,not set
20,20.319305,1.7787008,not set
21,0.13503139,-4.6756353,not set
22,18.34555,-11.069702,not set
23,31.751297,0.14170757,not set
24,52.73835,20.53686,not set
25,23.398796,13.7421665,not set
26,21.24536,18.050589,not set
27,10.45847,-2.9372349,not set
28,51.630344,2.809029,not set
29,52.03943,3.9750576,not set
30,16.093155,-1.755083,not set
31,3.9776664,16.960783,not set
32,6.3414288,0.8647434,not set
33,28.595234,6.1953163,not set
34,0.87629116,-0.007280233,not set
35,31.87091,8.952959,not set
36,27.752934,16.898737,not set
37,8.351552,-6.901597,not set
38,52.572517,-7.0025764,not set
39,16.025023,-5.5475087,not set
40,25.936743,-3.0344553,not set
41,19.161913,-11.439794,not set
42,28.932896,5.854012,not set
43,-3.3421748,-1.1484997,not set
44,10.474743,-3.721852,not set
45,-6.1071777,8.34687,not set
46,15.776309,9.7230625,not set
47,22.727722,-2.0991147,not set
48,21.92883,-6.2592897,not set
49,17.23961,8.764725,not set
50,23.509245,2.6856,not set
51,36.44692,3.48206,not set
52,38.6729,-1.3564377,not set
53,42.632523,16.262054,not set
54,50.962185,2.1451201,not set
55,35.56432,9.769754,not set
56,16.958015,13.952215,not set
57,38.65543,4.005321,not set
58,23.043703,4.035614,not set
59,35.845345,-2.7394483,not set
60,18.851261,2.7106476,not set
61,36.572693,6.5623646,not set
62,9.145877,1.1391014,not set
63,26.238428,2.7158678,not set
64,15.460974,-8.576417,not set
65,21.649925,-3.562018,not set
66,50.7547,-1.2011638,not set
67,35.415813,3.0312757,not set
68,75.538994,12.947333,not set
69,46.01843,-7.9383554,not set
70,25.00747,-10.278598,not set
71,24.26237,-3.5627868,not set
72,-6.8471684,12.799782,not set
73,2.4201841,-4.074907,not set
74,48.493828,6.6383677,not set
75,47.365314,6.418534,not set
76,1.0603929,9.56705,not set
77,3.845188,-14.345833,not set
78,-1.4526371,5.7763295,not set
79,28.06481,-2.5128002,not set
80,38.29876,-6.2730246,not set
81,50.940697,1.4670498,not set
82,5.6970444,8.319272,not set
83,36.963684,-9.124229,not set
84,19.643126,-4.573119,not set
85,44.237118,22.290771,not set
86,-1.8019956,6.5312223,not set
87,4.6584487,10.717726,not set
88,20.459946,4.8580594,not set
89,20.258522,2.1524143,not set
90,11.849872,-8.827548,not set
91,19.516161,13.608522,not set
92,15.430879,-5.6145034,not set
93,-2.5923927,0.050559644,not set
94,8.455038,-0.027276274,not set
95,6.7734466,15.600357,not set
96,28.13689,6.5706105,not set
97,32.941074,6.6334414,not set
98,14.0306225,0.56132066,not set
99,29.68777,-4.5627255,not set
100,35.176373,-1.901004,not set
101,12.641732,-2.4030426,not set
102,40.554104,13.21166,not set
103,10.936115,-9.658061,not set
104,9.8861685,0.2666156,not set
105,40.27029,3.5506363,not set
106,34.004654,-5.1360874,not set
107,20.413628,-3.8570797,not set
108,25.975624,2.6626396,not set
109,35.070835,3.9094718,not set
110,36.723366,-12.651636,not set
111,42.92895,0.89409506,not set
112,7.289403,6.3400955,not set
113,18.609348,-6.0495763,not set
114,32.706352,20.29705,not set
115,56.147163,-5.3237505,not set
116,15.401313,-12.357158,not set
117,16.292927,3.513834,not set
118,33.8142,-0.45723802,not set
119,21.932209,4.0330896,not set
120,-0.1408733,-0.66704553,not set
121,19.404745,-3.3021555,not set
122,17.961643,-11.922218,not set
123,15.745476,10.509066,not set
124,14.809958,11.091665,not set
125,6.834939,-13.261535,not set
126,36.181194,-12.625548,not set
127,27.756231,-4.423171,not set
128,2.8410702,-2.5181775,not set
129,27.071856,14.386972,not set
130,-1.9638686,18.11183,not set
131,15.056835,-9.903047,not set
132,32.80572,-1.1688206,not set
133,23.153704,-8.45416,not set
134,23.104559,-2.2859545,not set
135,2.0480387,12.433732,not set
136,-0.028665986,-2.0540125,not set
137,18.35587,2.0572295,not set
138,17.524126,10.756601,not set
139,31.25264,-0.8828412,not set
140,20.777374,7.9304395,not set
141,24.469046,-9.071244,not set
142,13.769603,-9.55177,not set
143,2.2056663,8.078177,not set
144,37.521866,4.8348136,not set
145,2.1327465,11.294216,not set
146,4.1224666,6.5607224,not set
147,47.30802,1.8651525,not set
148,47.72884,-6.099155,not set
149,3.320333,-2.367991,not set
150,63.47681,-6.420939,not set
