,group,name,stripes_acc,hexos_acc,acc,trial,task
0,transformer-tcn,trial = 4,0.9747999906539916,0.9843999743461608,1.0,4,same
1,transformer-tcn,trial = 3,0.8428000211715698,0.9319999814033508,0.9829999804496764,3,same
2,transformer-tcn,trial = 2,0.9297999739646912,0.9771999716758728,0.9959999918937684,2,same
3,transformer-tcn,trial = 1,0.4952000081539154,0.5834000110626221,0.7080000042915344,1,same
4,transformer-tcn,trial = 0,0.9118000268936156,0.9824000000953674,0.996999979019165,0,same
5,predinet-tcn,trial = 4,0.9828000068664552,0.996999979019165,1.0,4,same
6,predinet-tcn,trial = 3,0.9855999946594238,0.9987999796867372,1.0,3,same
7,predinet-tcn,trial = 2,0.992799997329712,0.9980000257492064,1.0,2,same
8,predinet-tcn,trial = 1,0.9900000095367432,0.9972000122070312,0.9950000047683716,1,same
9,predinet-tcn,trial = 0,0.9947999715805054,0.9941999912261964,0.9990000128746032,0,same
10,corelnet-tcn,trial = 4,0.996399998664856,1.0,1.0,4,same
11,corelnet-tcn,trial = 3,0.9994000196456908,0.9998000264167786,0.9990000128746032,3,same
12,corelnet-tcn,trial = 2,1.0,0.9998000264167786,1.0,2,same
13,corelnet-tcn,trial = 1,0.9986000061035156,1.0,1.0,1,same
14,corelnet-tcn,trial = 0,0.9998000264167786,0.9994000196456908,1.0,0,same
15,relconvnet-tcn,trial = 4,0.9994000196456908,0.9987999796867372,1.0,4,same
16,relconvnet-tcn,trial = 3,0.9968000054359436,0.9976000189781188,1.0,3,same
17,relconvnet-tcn,trial = 2,0.9919999837875366,0.9977999925613404,1.0,2,same
18,relconvnet-tcn,trial = 1,0.9980000257492064,0.9965999722480774,1.0,1,same
19,relconvnet-tcn,trial = 0,0.9986000061035156,0.9987999796867372,1.0,0,same
20,transformer,trial = 4,0.975000023841858,0.99099999666214,1.0,4,same
21,transformer,trial = 1,0.9977999925613404,0.9995999932289124,1.0,1,same
22,transformer,trial = 2,0.9962000250816344,0.9980000257492064,1.0,2,same
23,transformer,trial = 3,0.9973999857902528,0.996999979019165,1.0,3,same
24,transformer,trial = 0,0.996999979019165,0.9977999925613404,1.0,0,same
25,predinet,trial = 4,0.972599983215332,0.9787999987602234,0.9940000176429749,4,same
26,predinet,trial = 3,1.0,1.0,1.0,3,same
27,predinet,trial = 2,0.9987999796867372,0.9995999932289124,1.0,2,same
28,predinet,trial = 1,0.9628000259399414,0.9865999817848206,0.9959999918937684,1,same
29,predinet,trial = 0,0.9832000136375428,0.9860000014305116,0.9980000257492064,0,same
30,corelnet,trial = 4,0.4952000081539154,0.9696000218391418,1.0,4,same
31,corelnet,trial = 2,0.9998000264167786,1.0,1.0,2,same
32,corelnet,trial = 3,0.6462000012397766,0.9882000088691713,1.0,3,same
33,corelnet,trial = 0,0.982200026512146,1.0,1.0,0,same
34,corelnet,trial = 1,0.496399998664856,0.9819999933242798,1.0,1,same
35,relconvnet,trial = 4,0.9675999879837036,0.9829999804496764,1.0,4,same
36,relconvnet,trial = 3,0.9729999899864196,0.9923999905586244,1.0,3,same
37,relconvnet,trial = 0,0.9675999879837036,0.99099999666214,1.0,0,same
38,relconvnet,trial = 2,0.9824000000953674,0.9851999878883362,1.0,2,same
39,relconvnet,trial = 1,0.9796000123023988,0.9923999905586244,1.0,1,same
0,transformer-tcn,trial = 4,0.7986000180244446,0.8848000168800354,0.925000011920929,4,xoccurs
1,transformer-tcn,trial = 1,0.7315999865531921,0.8389999866485596,0.8690000176429749,1,xoccurs
2,transformer-tcn,trial = 2,0.7513999938964844,0.8996000289916992,0.925000011920929,2,xoccurs
3,transformer-tcn,trial = 0,0.628000020980835,0.7085999846458435,0.7710000276565552,0,xoccurs
4,transformer-tcn,trial = 3,0.6403999924659729,0.725600004196167,0.7329999804496765,3,xoccurs
5,predinet-tcn,trial = 4,0.7875999808311462,0.8903999924659729,0.930999994277954,4,xoccurs
6,predinet-tcn,trial = 3,0.8637999892234802,0.9039999842643738,0.9229999780654908,3,xoccurs
7,predinet-tcn,trial = 2,0.7324000000953674,0.7379999756813049,0.8320000171661377,2,xoccurs
8,predinet-tcn,trial = 1,0.9398000240325928,0.9742000102996826,0.9800000190734864,1,xoccurs
9,predinet-tcn,trial = 0,0.8256000280380249,0.9391999840736388,0.9710000157356262,0,xoccurs
10,corelnet-tcn,trial = 4,0.976199984550476,0.9973999857902528,1.0,4,xoccurs
11,corelnet-tcn,trial = 3,0.9589999914169312,0.9995999932289124,1.0,3,xoccurs
12,corelnet-tcn,trial = 2,0.9869999885559082,0.9991999864578248,1.0,2,xoccurs
13,corelnet-tcn,trial = 1,0.9855999946594238,0.9995999932289124,1.0,1,xoccurs
14,corelnet-tcn,trial = 0,0.9825999736785888,0.9991999864578248,1.0,0,xoccurs
15,relconvnet-tcn,trial = 4,0.8823999762535095,0.9864000082015992,1.0,4,xoccurs
16,relconvnet-tcn,trial = 2,0.864799976348877,0.987600028514862,1.0,2,xoccurs
17,relconvnet-tcn,trial = 3,0.9038000106811525,0.9918000102043152,1.0,3,xoccurs
18,relconvnet-tcn,trial = 1,0.9330000281333924,0.995199978351593,1.0,1,xoccurs
19,relconvnet-tcn,trial = 0,0.9182000160217284,0.9842000007629396,1.0,0,xoccurs
20,transformer,trial = 4,0.7310000061988831,0.8632000088691711,0.9200000166893004,4,xoccurs
21,transformer,trial = 2,0.6496000289916992,0.902999997138977,0.9390000104904176,2,xoccurs
22,transformer,trial = 3,0.8396000266075134,0.8880000114440918,0.9319999814033508,3,xoccurs
23,transformer,trial = 1,0.7843999862670898,0.878600001335144,0.9480000138282776,1,xoccurs
24,predinet,trial = 4,0.7440000176429749,0.875,0.930999994277954,4,xoccurs
25,predinet,trial = 1,0.7861999869346619,0.7361999750137329,0.9169999957084656,1,xoccurs
26,predinet,trial = 2,0.901199996471405,0.9305999875068665,0.9470000267028807,2,xoccurs
27,predinet,trial = 3,0.8450000286102295,0.9269999861717224,0.9539999961853028,3,xoccurs
28,corelnet,trial = 4,0.5127999782562256,0.9980000257492064,1.0,4,xoccurs
29,corelnet,trial = 2,0.5888000130653381,0.975000023841858,1.0,2,xoccurs
30,corelnet,trial = 3,0.5608000159263611,0.9643999934196472,1.0,3,xoccurs
